"y" "size" "center" "variance" "even" "cramer" "ratio" "PNT"
3 21 6323.5 42.1666666666667 TRUE FALSE 1.00332646919056 2.12529087831138
7 40 6354 143.5 FALSE FALSE 1.00631512472371 4.04623195108502
3 30 6389 82.6666666666667 FALSE FALSE 1.00470662064638 3.03302799240657
8 99 6453.5 841.666666666667 TRUE TRUE 1.01545908806996 9.99904165484634
0 4 6505 2.5 FALSE FALSE 1.00061510072274 0.403682923837209
0 5 6509.5 3.5 TRUE FALSE 1.00076840325803 0.504565753469478
2 18 6521 31.6666666666667 FALSE FALSE 1.00276412776413 1.81611441193354
0 5 6532.5 3.5 TRUE FALSE 1.00076569678407 0.504392116628765
9 67 6568.5 391 TRUE FALSE 1.01025248661056 6.75513580844802
2 22 6613 46 FALSE FALSE 1.00333232353832 2.21662181687827
16 141 6694.5 1692.16666666667 TRUE TRUE 1.02128623188406 14.1893660370827
3 26 6778 63 FALSE FALSE 1.00384331116038 2.613257297274
2 23 6802.5 50 TRUE FALSE 1.0033868355176 2.31090328391576
5 34 6831 105 FALSE FALSE 1.00498972703258 3.4147122671975
25 206 6951 3588 FALSE TRUE 1.03008177570093 20.653732028048
2 18 7063 31.6666666666667 FALSE FALSE 1.00255174369152 1.80184186283873
2 32 7088 93.5 FALSE FALSE 1.00452488687783 3.20215590656699
1 8 7108 7.5 FALSE FALSE 1.00112612612613 0.80031832770112
3 21 7122.5 42.1666666666667 TRUE FALSE 1.00295275590551 2.10041320374228
5 64 7165 357.5 FALSE FALSE 1.008972381887 6.39751012627016
7 46 7220 188 FALSE FALSE 1.00639155203557 4.5947562358092
3 42 7264 157.666666666667 FALSE FALSE 1.00579870219522 4.19270497486946
7 64 7317 357.5 FALSE FALSE 1.00878517501716 6.38432066931807
13 140 7419 1668.5 FALSE TRUE 1.01905021091305 13.9467614486077
15 100 7539 858.5 FALSE TRUE 1.0133529176125 9.94634145730959
4 47 7612.5 196 TRUE FALSE 1.00619317433127 4.67033303535879
3 22 7647 46 FALSE FALSE 1.00288108957569 2.18515204458845
15 132 7724 1485.16666666667 FALSE TRUE 1.01723687646905 13.0980761652303
3 37 7808.5 123.5 TRUE FALSE 1.00474967907574 3.66754201527021
3 34 7844 105 FALSE FALSE 1.00434393765172 3.36867860850384
3 17 7869.5 28.5 TRUE FALSE 1.00216257473604 1.68380130918217
1 3 7879.5 1.66666666666667 TRUE FALSE 1.0003808073115 0.297106360353609
10 109 7935.5 1017.5 TRUE TRUE 1.01383073214059 10.7874226262666
17 166 8073 2338 FALSE TRUE 1.02077596996245 16.4010883829336
3 21 8166.5 42.1666666666667 TRUE FALSE 1.00257479156449 2.07250739046151
1 5 8179.5 3.5 TRUE FALSE 1.00061147119971 0.493380011615727
8 79 8221.5 540 TRUE FALSE 1.00965534099242 7.79148539925438
1 3 8262.5 1.66666666666667 TRUE FALSE 1.00036315216076 0.295737418843032
12 111 8319.5 1054.66666666667 TRUE TRUE 1.01343175217812 10.9349737905364
3 16 8383 25.5 FALSE FALSE 1.00191044776119 1.57504842756441
0 22 8402 46 FALSE FALSE 1.00262185675128 2.16522180790525
8 70 8448 426 FALSE FALSE 1.00832045643647 6.88569188641225
3 41 8503.5 150.5 TRUE FALSE 1.00483319580337 4.03049060426156
3 16 8532 25.5 FALSE FALSE 1.00187705302675 1.57236429232341
38 309 8694.5 8034.16666666667 TRUE TRUE 1.03618266978923 30.3110765448079
5 57 8877.5 285.166666666667 TRUE FALSE 1.00644140580857 5.58014192910935
4 41 8926.5 150.5 TRUE FALSE 1.00460363799686 4.01164182546086
4 37 8965.5 123.5 TRUE FALSE 1.00413546440148 3.61873974984167
0 3 8985.5 1.66666666666667 TRUE FALSE 1.0003339269813 0.293348649640507
3 22 8998 46 FALSE FALSE 1.00244798041616 2.15093346051765
2 12 9015 15.1666666666667 FALSE FALSE 1.001332001332 1.17302849917473
3 26 9034 63 FALSE FALSE 1.00288216383993 2.54103772056283
4 51 9072.5 229.666666666667 TRUE FALSE 1.00563722781032 4.98229138720853
1 7 9101.5 6 TRUE FALSE 1.0007693998681 0.683635288623464
1 19 9114.5 35 TRUE FALSE 1.00208676551345 1.85532751884705
4 27 9137.5 67.6666666666667 TRUE FALSE 1.00295922840859 2.63587977991983
